Well,Scenario,MAE,MSE,R²
7-SPH-3-SPS_BASE.las,Real,0.033113032361753315,0.002082281216136297,0.6744167287730654
9-SPS-77A-SP_BASE.las,Real,0.026515905880483227,0.0012336805366466887,0.4345722591323051
9-SPS-97-SP_BASE.las,Real,0.019075463032812785,0.0006548574174729993,0.5425416963530177
7-SPH-3-SPS_BASE.las,Real + Synthetic,0.03307703923248752,0.0020606888760088646,0.6777928840577865
9-SPS-77A-SP_BASE.las,Real + Synthetic,0.025601903327231976,0.0011491202435731506,0.47332843146330617
9-SPS-97-SP_BASE.las,Real + Synthetic,0.01957429305730444,0.0006629659570889124,0.5368773812230713
